Time (s),CH1,CH2
-0.0013128057233787618,0.22625,0.22625
-0.0013124057216348927,-0.205625,-0.205625
-0.0013120057198910235,0.22609375,0.22609375
-0.0013116057181471543,-0.2059375,-0.2059375
-0.0013112057164032852,0.226875,0.226875
-0.001310805714659416,-0.2065625,-0.2065625
-0.0013104057129155469,0.2265625,0.2265625
-0.0013100057111716777,-0.20625000000000002,-0.20625000000000002
-0.0013096057094278085,0.2265625,0.2265625
-0.0013092057076839394,-0.2065625,-0.2065625
-0.0013088057059400702,0.22765625,0.22765625
-0.001308405704196201,-0.2071875,-0.2071875
-0.0013080057024523319,0.228125,0.228125
-0.0013076057007084627,-0.2071875,-0.2071875
-0.0013072056989645935,0.2278125,0.2278125
-0.0013068056972207244,-0.20734375,-0.20734375
-0.0013064056954768552,0.22828125,0.22828125
-0.001306005693732986,-0.208125,-0.208125
-0.0013056056919891169,0.22843750000000002,0.22843750000000002
-0.0013052056902452477,-0.208125,-0.208125
-0.0013048056885013785,0.22875,0.22875
-0.0013044056867575094,-0.208125,-0.208125
-0.0013040056850136402,0.2290625,0.2290625
-0.001303605683269771,-0.20859375,-0.20859375
-0.0013032056815259019,0.22890625,0.22890625
-0.0013028056797820327,-0.20890625000000002,-0.20890625000000002
-0.0013024056780381636,0.22921875,0.22921875
-0.0013020056762942944,-0.20890625000000002,-0.20890625000000002
-0.0013016056745504252,0.22953125,0.22953125
-0.001301205672806556,-0.2090625,-0.2090625
-0.001300805671062687,0.2303125,0.2303125
-0.0013004056693188177,-0.209375,-0.209375
-0.0013000056675749486,0.23078125,0.23078125
-0.0012996056658310794,-0.20953125,-0.20953125
-0.0012992056640872102,0.23046875,0.23046875
-0.001298805662343341,-0.21,-0.21
-0.001298405660599472,0.23,0.23
-0.0012980056588556027,-0.20953125,-0.20953125
-0.0012976056571117336,0.23046875,0.23046875
-0.0012972056553678644,-0.20953125,-0.20953125
-0.0012968056536239953,0.23140625,0.23140625
-0.001296405651880126,-0.210625,-0.210625
-0.001296005650136257,0.2315625,0.2315625
-0.0012956056483923878,-0.21109375,-0.21109375
-0.0012952056466485186,0.23171875,0.23171875
-0.0012948056449046494,-0.21140625000000002,-0.21140625000000002
-0.0012944056431607803,0.23171875,0.23171875
-0.001294005641416911,-0.21140625000000002,-0.21140625000000002
-0.001293605639673042,0.23203125,0.23203125
-0.0012932056379291728,-0.21156250000000001,-0.21156250000000001
-0.0012928056361853036,0.2328125,0.2328125
-0.0012924056344414344,-0.21140625000000002,-0.21140625000000002
-0.0012920056326975653,0.23296875,0.23296875
-0.0012916056309536961,-0.21140625000000002,-0.21140625000000002
-0.001291205629209827,0.2328125,0.2328125
-0.0012908056274659578,-0.21171875,-0.21171875
-0.0012904056257220886,0.2328125,0.2328125
-0.0012900056239782195,-0.211875,-0.211875
-0.0012896056222343503,0.2328125,0.2328125
-0.0012892056204904811,-0.21234375,-0.21234375
-0.001288805618746612,0.23328125,0.23328125
-0.0012884056170027428,-0.21296875,-0.21296875
-0.0012880056152588736,0.23390625,0.23390625
-0.0012876056135150045,-0.21296875,-0.21296875
-0.0012872056117711353,0.23421875,0.23421875
-0.0012868056100272661,-0.213125,-0.213125
-0.001286405608283397,0.23421875,0.23421875
-0.0012860056065395278,-0.21375,-0.21375
-0.0012856056047956586,0.234375,0.234375
-0.0012852056030517895,-0.21375,-0.21375
-0.0012848056013079203,0.234375,0.234375
-0.0012844055995640511,-0.21359375,-0.21359375
-0.001284005597820182,0.23500000000000001,0.23500000000000001
-0.0012836055960763128,-0.21390625,-0.21390625
-0.0012832055943324437,0.23546875,0.23546875
-0.0012828055925885745,-0.214375,-0.214375
-0.0012824055908447053,0.23546875,0.23546875
-0.0012820055891008362,-0.21453125,-0.21453125
-0.001281605587356967,0.23546875,0.23546875
-0.0012812055856130978,-0.2146875,-0.2146875
-0.0012808055838692287,0.23578125,0.23578125
-0.0012804055821253595,-0.21484375,-0.21484375
-0.0012800055803814903,0.2359375,0.2359375
-0.0012796055786376212,-0.21453125,-0.21453125
-0.001279205576893752,0.23640625,0.23640625
-0.0012788055751498828,-0.21515625,-0.21515625
-0.0012784055734060137,0.23625000000000002,0.23625000000000002
-0.0012780055716621445,-0.215625,-0.215625
-0.0012776055699182753,0.23625000000000002,0.23625000000000002
-0.0012772055681744062,-0.215625,-0.215625
-0.001276805566430537,0.2365625,0.2365625
-0.0012764055646866679,-0.21546875000000001,-0.21546875000000001
-0.0012760055629427987,0.23671875,0.23671875
-0.0012756055611989295,-0.21531250000000002,-0.21531250000000002
-0.0012752055594550604,0.2371875,0.2371875
-0.0012748055577111912,-0.2159375,-0.2159375
-0.001274405555967322,0.2378125,0.2378125
-0.0012740055542234529,-0.2165625,-0.2165625
-0.0012736055524795837,0.23765625,0.23765625
-0.0012732055507357145,-0.21625,-0.21625
-0.0012728055489918454,0.23734375,0.23734375
-0.0012724055472479762,-0.2159375,-0.2159375
-0.001272005545504107,0.238125,0.238125
-0.0012716055437602379,-0.21625,-0.21625
-0.0012712055420163687,0.23859375,0.23859375
-0.0012708055402724995,-0.2165625,-0.2165625
-0.0012704055385286304,0.23859375,0.23859375
-0.0012700055367847612,-0.21734375,-0.21734375
-0.001269605535040892,0.23890625000000001,0.23890625000000001
-0.0012692055332970229,-0.2171875,-0.2171875
-0.0012688055315531537,0.23875000000000002,0.23875000000000002
-0.0012684055298092846,-0.2171875,-0.2171875
-0.0012680055280654154,0.23875000000000002,0.23875000000000002
-0.0012676055263215462,-0.2175,-0.2175
-0.001267205524577677,0.239375,0.239375
-0.001266805522833808,-0.21765625,-0.21765625
-0.0012664055210899387,0.23984375,0.23984375
-0.0012660055193460696,-0.2178125,-0.2178125
-0.0012656055176022004,0.239375,0.239375
-0.0012652055158583312,-0.2178125,-0.2178125
-0.001264805514114462,0.23953125,0.23953125
-0.001264405512370593,-0.21765625,-0.21765625
-0.0012640055106267237,0.2403125,0.2403125
-0.0012636055088828546,-0.21859375,-0.21859375
-0.0012632055071389854,0.24046875,0.24046875
-0.0012628055053951163,-0.21875,-0.21875
-0.001262405503651247,0.2403125,0.2403125
-0.001262005501907378,-0.21859375,-0.21859375
-0.0012616055001635088,0.24015625000000002,0.24015625000000002
-0.0012612054984196396,-0.21859375,-0.21859375
-0.0012608054966757704,0.240625,0.240625
-0.0012604054949319013,-0.21890625,-0.21890625
-0.001260005493188032,0.24078125,0.24078125
-0.001259605491444163,-0.21921875000000002,-0.21921875000000002
-0.0012592054897002938,0.24078125,0.24078125
-0.0012588054879564246,-0.21921875000000002,-0.21921875000000002
-0.0012584054862125554,0.24046875,0.24046875
-0.0012580054844686863,-0.21875,-0.21875
-0.0012576054827248171,0.24078125,0.24078125
-0.001257205480980948,-0.21953125,-0.21953125
-0.0012568054792370788,0.24125,0.24125
-0.0012564054774932096,-0.21984375,-0.21984375
-0.0012560054757493405,0.24109375,0.24109375
-0.0012556054740054713,-0.2196875,-0.2196875
-0.0012552054722616021,0.24125,0.24125
-0.001254805470517733,-0.21953125,-0.21953125
-0.0012544054687738638,0.2415625,0.2415625
-0.0012540054670299946,-0.21984375,-0.21984375
-0.0012536054652861255,0.2415625,0.2415625
-0.0012532054635422563,-0.22,-0.22
-0.0012528054617983871,0.2421875,0.2421875
-0.001252405460054518,-0.22,-0.22
-0.0012520054583106488,0.24203125,0.24203125
-0.0012516054565667796,-0.22,-0.22
-0.0012512054548229105,0.24171875,0.24171875
-0.0012508054530790413,-0.22,-0.22
-0.0012504054513351721,0.24234375,0.24234375
-0.001250005449591303,-0.22046875,-0.22046875
